Time,V1,V2,Amount,Class
0,-99.8500,112.4500,5500000.00,1
1,-1.4000,1.1000,18.50,0
2,-1.3000,1.0000,22.00,0
3,-1.2000,0.9000,25.50,0
4,-1.1000,0.8000,29.00,0
5,85.3400,-76.2200,6750000.00,1
6,-0.9000,0.6000,36.00,0
7,-0.8000,0.5000,39.50,0
8,-0.7000,0.4000,43.00,0
9,-0.6000,0.3000,46.50,0
10,-99.8500,112.4500,5500000.00,1
11,-0.4000,0.1000,53.50,0
12,-0.3000,-0.0000,57.00,0
13,-0.2000,-0.1000,60.50,0
14,-0.1000,-0.2000,64.00,0
15,85.3400,-76.2200,6750000.00,1
16,0.1000,-0.4000,71.00,0
17,0.2000,-0.5000,74.50,0
18,0.3000,-0.6000,78.00,0
19,0.4000,-0.7000,81.50,0
20,-99.8500,112.4500,5500000.00,1
21,0.6000,1.1000,88.50,0
22,0.7000,1.0000,92.00,0
23,0.8000,0.9000,95.50,0
24,0.9000,0.8000,99.00,0
25,85.3400,-76.2200,6750000.00,1
26,1.1000,0.6000,106.00,0
27,1.2000,0.5000,109.50,0
28,1.3000,0.4000,113.00,0
29,1.4000,0.3000,116.50,0
30,-99.8500,112.4500,5500000.00,1
31,-1.4000,0.1000,123.50,0
32,-1.3000,-0.0000,127.00,0
33,-1.2000,-0.1000,130.50,0
34,-1.1000,-0.2000,134.00,0
35,85.3400,-76.2200,6750000.00,1
36,-0.9000,-0.4000,141.00,0
37,-0.8000,-0.5000,144.50,0
38,-0.7000,-0.6000,148.00,0
39,-0.6000,-0.7000,151.50,0
40,-99.8500,112.4500,5500000.00,1
41,-0.4000,1.1000,158.50,0
42,-0.3000,1.0000,162.00,0
43,-0.2000,0.9000,165.50,0
44,-0.1000,0.8000,169.00,0
45,85.3400,-76.2200,6750000.00,1
46,0.1000,0.6000,176.00,0
47,0.2000,0.5000,179.50,0
48,0.3000,0.4000,183.00,0
49,0.4000,0.3000,186.50,0
50,-99.8500,112.4500,5500000.00,1
51,0.6000,0.1000,193.50,0
52,0.7000,-0.0000,197.00,0
53,0.8000,-0.1000,200.50,0
54,0.9000,-0.2000,204.00,0
55,85.3400,-76.2200,6750000.00,1
56,1.1000,-0.4000,211.00,0
57,1.2000,-0.5000,214.50,0
58,1.3000,-0.6000,218.00,0
59,1.4000,-0.7000,221.50,0
60,-99.8500,112.4500,5500000.00,1
61,-1.4000,1.1000,228.50,0
62,-1.3000,1.0000,232.00,0
63,-1.2000,0.9000,235.50,0
64,-1.1000,0.8000,239.00,0
65,85.3400,-76.2200,6750000.00,1
66,-0.9000,0.6000,246.00,0
67,-0.8000,0.5000,249.50,0
68,-0.7000,0.4000,253.00,0
69,-0.6000,0.3000,256.50,0
70,-99.8500,112.4500,5500000.00,1
71,-0.4000,0.1000,263.50,0
72,-0.3000,-0.0000,267.00,0
73,-0.2000,-0.1000,270.50,0
74,-0.1000,-0.2000,274.00,0
75,85.3400,-76.2200,6750000.00,1
76,0.1000,-0.4000,281.00,0
77,0.2000,-0.5000,284.50,0
78,0.3000,-0.6000,288.00,0
79,0.4000,-0.7000,291.50,0
80,-99.8500,112.4500,5500000.00,1
81,0.6000,1.1000,298.50,0
82,0.7000,1.0000,302.00,0
83,0.8000,0.9000,305.50,0
84,0.9000,0.8000,309.00,0
85,85.3400,-76.2200,6750000.00,1
86,1.1000,0.6000,316.00,0
87,1.2000,0.5000,319.50,0
88,1.3000,0.4000,323.00,0
89,1.4000,0.3000,326.50,0
90,-99.8500,112.4500,5500000.00,1
91,-1.4000,0.1000,333.50,0
92,-1.3000,-0.0000,337.00,0
93,-1.2000,-0.1000,340.50,0
94,-1.1000,-0.2000,344.00,0
95,85.3400,-76.2200,6750000.00,1
96,-0.9000,-0.4000,351.00,0
97,-0.8000,-0.5000,354.50,0
98,-0.7000,-0.6000,358.00,0
99,-0.6000,-0.7000,361.50,0
100,-99.8500,112.4500,5500000.00,1
101,-0.4000,1.1000,368.50,0
102,-0.3000,1.0000,372.00,0
103,-0.2000,0.9000,375.50,0
104,-0.1000,0.8000,379.00,0
105,85.3400,-76.2200,6750000.00,1
106,0.1000,0.6000,386.00,0
107,0.2000,0.5000,389.50,0
108,0.3000,0.4000,393.00,0
109,0.4000,0.3000,396.50,0
110,-99.8500,112.4500,5500000.00,1
111,0.6000,0.1000,403.50,0
112,0.7000,-0.0000,407.00,0
113,0.8000,-0.1000,410.50,0
114,0.9000,-0.2000,414.00,0
115,85.3400,-76.2200,6750000.00,1
116,1.1000,-0.4000,421.00,0
117,1.2000,-0.5000,424.50,0
118,1.3000,-0.6000,428.00,0
119,1.4000,-0.7000,431.50,0
120,-99.8500,112.4500,5500000.00,1
121,-1.4000,1.1000,438.50,0
122,-1.3000,1.0000,442.00,0
123,-1.2000,0.9000,445.50,0
124,-1.1000,0.8000,449.00,0
125,85.3400,-76.2200,6750000.00,1
126,-0.9000,0.6000,456.00,0
127,-0.8000,0.5000,459.50,0
128,-0.7000,0.4000,463.00,0
129,-0.6000,0.3000,466.50,0
130,-99.8500,112.4500,5500000.00,1
131,-0.4000,0.1000,473.50,0
132,-0.3000,-0.0000,477.00,0
133,-0.2000,-0.1000,480.50,0
134,-0.1000,-0.2000,484.00,0
135,85.3400,-76.2200,6750000.00,1
136,0.1000,-0.4000,491.00,0
137,0.2000,-0.5000,494.50,0
138,0.3000,-0.6000,498.00,0
139,0.4000,-0.7000,501.50,0
140,-99.8500,112.4500,5500000.00,1
141,0.6000,1.1000,508.50,0
142,0.7000,1.0000,512.00,0
143,0.8000,0.9000,515.50,0
144,0.9000,0.8000,519.00,0
145,85.3400,-76.2200,6750000.00,1
146,1.1000,0.6000,526.00,0
147,1.2000,0.5000,529.50,0
148,1.3000,0.4000,533.00,0
149,1.4000,0.3000,536.50,0
